,text
36,"        Two-dimensional (2D) materials are promising candidates for next-generation electronic devices. In this regime, insulating 2D ferromagnets, which remain rare, are of special importance due to their potential for enabling new device architectures. Here we report the discovery of ferromagnetism in a layered van der Waals semiconductor, VI3, which is based on honeycomb vanadium layers separated by an iodine-iodine van der Waals gap. It has a BiI3-type structure (R-3, No.148) at room temperature, and our experimental evidence suggests that it may undergo a subtle structural phase transition at 78 K. VI3 becomes ferromagnetic at 49 K, below which magneto-optical Kerr effect imaging clearly shows ferromagnetic domains, which can be manipulated by the applied external magnetic field. The optical band gap determined by reflectance measurements is 0.6 eV, and the material is highly resistive.        "
37,"        Hexagonal boron nitride (h-BN) is a two dimensional (2D) layered insulator with superior dielectric performance that offers excellent interaction with other 2D materials (e.g. graphene, MoS2). Large-area h-BN can be readily grown on metallic substrates via chemical vapor deposition (CVD), but the impact of local inhomogeneities on the electrical properties of the h-BN and their effect in electronic devices is unknown. Here it is shown that the electrical properties of h-BN stacks grown on polycrystalline Pt vary a lot depending on the crystalline orientation of the Pt grain, but within the same grain the electrical properties of the h-BN are very homogeneous. The reason is that the thickness of the CVD-grown h-BN stack is different on each Pt grain. Conductive atomic force microscopy (CAFM) maps show that the tunneling current across the h-BN stack fluctuates up to 3 orders of magnitude from one Pt grain to another. However, probe station experiments reveal that the variability of electronic devices fabricated within the same Pt grain is surprisingly small. As cutting-edge electronic devices are ultra-scaled, and as the size of the metallic substrate grains can easily exceed 100 Î¼m (in diameter), CVD-grown h-BN stacks may be useful to fabricate electronic devices with low variability.        "
38,"        Through a combination of rheological characterization and temperature-variable imaging methods, a novel gelation pathway in dilute solutions of a semiconducting polymer to achieve interconnected, crystalline networks with hierarchical porosity is reported. Upon rapid cooling, solutions of regioregular poly(3-hexylthiophene) (RR-P3HT) in ortho-dichlorobenzene formed thermoreversible gels. Temperature-variable confocal microscopy revealed cooling-induced structural rearrangement to progress through viscoelastic phase separation. The phase separation process arrested prematurely during the formation of micron-sized solvent-rich ""holes"" within the RR-P3HT matrix due to intrachain crystallization. Cryogen-based scanning electron microscopy of RR P3HT gels revealed the existence of an interfibrillar network exhibiting nano-sized pores. Remarkably, these networks formed to equal gel strengths when a third component, either small molecule phenyl C61 butyric acid methyl ester (PCBM) or non-crystallizing regiorandom (Rra)-P3HT, was added to the solution. Organic solar cells in which the active layers were deposited from phase-separated solutions displayed 45% higher efficiency compared to reference cells.        "
39,        In this paper we generalize Drinfeld's twisted quantum affine algebras to construct twisted quantum algebras for all simply-laced generalized Cartan matrices and present their vertex representation realizations.        
40,"        Property by design is one appealing idea in material synthesis but hard to achieve in practice. A recent successful example is the demonstration of van der Waals (vdW) heterostructures,1-3 in which atomic layers are stacked on each other and different ingredients can be combined beyond symmetry and lattice matching. This concept, usually described as a nanoscale Lego blocks, allows to build sophisticated structures layer by layer. However, this concept has been so far limited in two dimensional (2D) materials. Here we show a class of new material where different layers are coaxially (instead of planarly) stacked. As the structure is in one dimensional (1D) form, we name it ""1D vdW heterostructures"". We demonstrate a 5 nm diameter nanotube consisting of three different materials: an inner conductive carbon nanotube (CNT), a middle insulating hexagonal boron nitride nanotube (BNNT) and an outside semiconducting MoS2 nanotube. As the technique is highly applicable to other materials in the current 2D libraries,4-6 we anticipate our strategy to be a starting point for discovering a class of new semiconducting nanotube materials. A plethora of function-designable 1D heterostructures will appear after the combination of CNTs, BNNTs and semiconducting nanotubes.        "
41,"        Second-order nonlinear optical interactions, including second harmonic generation (SHG) and sum-frequency generation (SFG), can reveal a wealth of information about chemical, electronic, and vibrational dynamics at the nanoscale. Here, we demonstrate a powerful and flexible new approach, called phase-modulated degenerate parametric amplification (DPA). The technique, which allows for facile retrieval of both the amplitude and phase of the second-order nonlinear optical response, has many advantages over conventional or heterodyne-detected SHG, including the flexibility to detect the signal at either the second harmonic or fundamental field wavelength. We demonstrate the capabilities of this approach by imaging multi-grain flakes of single-layer MoS2. We identify the absolute crystal orientation of each MoS2 domain and resolve grain boundaries with high signal contrast and sub-diffraction-limited spatial resolution. This robust all-optical method can be used to characterize structure and dynamics in organic and inorganic systems, including biological tissue, soft materials, and metal and semiconductor nanostructures, and is particularly well-suited for imaging in media that are absorptive or highly scattering to visible and ultraviolet light.        "
42,"        We report a rare atom-like interaction between excitons in monolayer WS2, measured using ultrafast absorption spectroscopy. At increasing excitation density, the exciton resonance energy exhibits a pronounced redshift followed by an anomalous blueshift. Using both material-realistic computation and phenomenological modeling, we attribute this observation to plasma effects and an attraction-repulsion crossover of the exciton-exciton interaction that mimics the Lennard-Jones potential between atoms. Our experiment demonstrates a strong analogy between excitons and atoms with respect to inter-particle interaction, which holds promise to pursue the predicted liquid and crystalline phases of excitons in two-dimensional materials.        "
43,"        Previously known to form only under high pressure synthetic conditions, here we report that the T'-type 214-structure cuprate based on the rare earth atom Tb is stabilized for ambient pressure synthesis through partial substitution of Pd for Cu. The new material is obtained in purest form for mixtures of nominal composition $Tb_{1.96}Cu_{0.80}Pd_{0.20}O_{4}$. The refined formula, in orthorhombic space group Pbca, with a = 5.5117(1) Ã, b = 5.5088(1) Ã, and c = 11.8818(1) Ã, is $Tb_{2}Cu_{0.83}Pd_{0.17}O_{4}$. An incommensurate structural modulation is seen along the a axis by electron diffraction and high resolution imaging. Magnetic susceptibility measurements reveal long range antiferromagnetic ordering at 7.9 K, with a less pronounced feature at 95 K; a magnetic moment reorientation transition is observed to onset at a field of approximately 1.1 Tesla at 3 K. The material is an n-type semiconductor.        "
44,"        The ability to confine light into tiny spatial dimensions is important for applications such as microscopy, sensing and nanoscale lasers. While plasmons offer an appealing avenue to confine light, Landau damping in metals imposes a trade-off between optical field confinement and losses. We show that a graphene-insulator-metal heterostructure can overcome that trade-off, and demonstrate plasmon confinement down to the ultimate limit of the lengthscale of one atom. This is achieved by far-field excitation of plasmon modes squeezed into an atomically thin hexagonal boron nitride dielectric h-BN spacer between graphene and metal rods. A theoretical model which takes into account the non-local optical response of both graphene and metal is used to describe the results. These ultra-confined plasmonic modes, addressed with far-field light excitation, enables a route to new regimes of ultra-strong light-matter interactions.        "
45,"        By using the Hectospec 6.5 m Multiple Mirror Telescope (MMT) and the 2.16 m telescope of National Astronomical Observatories, Chinese Academy of Sciences (NAOC), we obtained 188 high signal-to-noise ratio (S/N) spectra of HII regions in the nearby galaxy M101, which are the largest spectroscopic sample of HII regions for this galaxy so far. These spectra cover a wide range of regions on M101, which enables us to analyze two dimensional distributions of its physical properties. The physical parameters are derived from emission lines or stellar continuum, including stellar population age, electron temperature, oxygen abundance and etc. The oxygen abundances are derived using two empirical methods based on O3N2 and R$_{23}$ indicators, as well as the direct Te method when OIII$\lambda4363$ is available. By applying the harmonic decomposition analysis to the velocity field, we obtained line-of-sight rotation velocity of 71 km s$^{-1}$ and a position angle of 36 degree. The stellar age profile shows an old stellar population in galaxy center and a relative young stellar population in outer regions, suggesting an old bulge and a young disk. Oxygen abundance profile exhibits a clear break at $\sim$18 kpc, with a gradient of $-$0.0364 dex kpc$^{-1}$ in the inner region and $-$0.00686 dex kpc$^{-1}$ in the outer region. Our results agree with the ""inside-out"" disk growth scenario of M101.        "
46,"        Atomic-level structural changes in materials are important but challenging to study. Here, we demonstrate the dynamics and the possibility of manipulating a phosphorus dopant atom in graphene using scanning transmission electron microscopy (STEM). The mechanisms of various processes are explored and compared with those of other dopant species by first-principles calculations. This work paves the way for designing a more precise and optimized protocol for atomic engineering.        "
47,"        The valley pseudospin in monolayer transition metal dichalcogenides (TMDs) has been proposed as a new way to manipulate information in various optoelectronic devices. This relies on a large valley polarization that remains stable over long timescales (hundreds of ns). However, time resolved measurements report valley lifetimes of only a few ps. This has been attributed to mechanisms such as phonon-mediated inter-valley scattering and a precession of the valley psedospin through electron-hole exchange. Here we use transient spin grating to directly measure the valley depolarization lifetime in monolayer MoSe$_{2}$. We find a fast valley decay rate that scales linearly with the excitation density at different temperatures. This establishes the presence of strong exciton-exciton Coulomb exchange interactions enhancing the valley depolarization. Our work highlights the microscopic processes inhibiting the efficient use of the exciton valley pseudospin in monolayer TMDs.        "
48,"        The abundance of neutral hydrogen (HI) in satellite galaxies in the Local Group is important for studying the formation history of our Local Group. In this work, we generated mock HI satellite galaxies in the Local Group using the high mass resolution hydrodynamic \textsc{apostle} simulation. The simulated HI mass function agrees with the ALFALFA survey very well above $10^6M_{\odot}$, although there is a discrepancy below this scale because of the observed flux limit. After carefully checking various systematic elements in the observations, including fitting of line width, sky coverage, integration time, and frequency drift due to uncertainty in a galaxy's distance, we predicted the abundance of HI in galaxies in a future survey that will be conducted by FAST. FAST has a larger aperture and higher sensitivity than the Arecibo telescope. We found that the HI mass function could be estimated well around $10^5 M_{\odot}$ if the integration time is 40 minutes. Our results indicate that there are 61 HI satellites in the Local Group, and 36 in the FAST field above $10^5 M_{\odot}$. This estimation is one order of magnitude better than the current data, and will put a strong constraint on the formation history of the Local Group. Also more high resolution simulated samples are needed to achieve this target.        "
49,"        We present a spectroscopic redshift catalog from the LAMOST Complete Spectroscopic Survey of Pointing Area (LaCoSSPAr) in the Southern Galactic Cap (SGC), which is designed to observe all sources (Galactic and extra-galactic) by using repeating observations with a limiting magnitude of $r=18.1~mag$ in two $20~deg^2$ fields. The project is mainly focusing on the completeness of LAMOST ExtraGAlactic Surveys (LEGAS) in the SGC, the deficiencies of source selection methods and the basic performance parameters of LAMOST telescope. In both fields, more than 95% of galaxies have been observed. A post-processing has been applied to LAMOST 1D spectrum to remove the majority of remaining sky background residuals. More than 10,000 spectra have been visually inspected to measure the redshift by using combinations of different emission/absorption features with uncertainty of $Ï_{z}/(1+z)&lt;0.001$. In total, there are 1528 redshifts (623 absorption and 905 emission line galaxies) in Field A and 1570 redshifts (569 absorption and 1001 emission line galaxies) in Field B have been measured. The results show that it is possible to derive redshift from low SNR galaxies with our post-processing and visual inspection. Our analysis also indicates that up to 1/4 of the input targets for a typical extra-galactic spectroscopic survey might be unreliable. The multi-wavelength data analysis shows that the majority of mid-infrared-detected absorption (91.3%) and emission line galaxies (93.3%) can be well separated by an empirical criterion of $W2-W3=2.4$. Meanwhile, a fainter sequence paralleled to the main population of galaxies has been witnessed both in $M_r$/$W2-W3$ and $M_*$/$W2-W3$ diagrams, which could be the population of luminous dwarf galaxies but contaminated by the edge-on/highly inclined galaxies ($\sim30\%$).        "
50,"        This paper aims to caption daily life --i.e., to create a textual description of people's activities and interactions with objects in their homes. Addressing this problem requires novel methods beyond traditional video captioning, as most people would have privacy concerns about deploying cameras throughout their homes. We introduce RF-Diary, a new model for captioning daily life by analyzing the privacy-preserving radio signal in the home with the home's floormap. RF-Diary can further observe and caption people's life through walls and occlusions and in dark settings. In designing RF-Diary, we exploit the ability of radio signals to capture people's 3D dynamics, and use the floormap to help the model learn people's interactions with objects. We also use a multi-modal feature alignment training scheme that leverages existing video-based captioning datasets to improve the performance of our radio-based captioning model. Extensive experimental results demonstrate that RF-Diary generates accurate captions under visible conditions. It also sustains its good performance in dark or occluded settings, where video-based captioning approaches fail to generate meaningful captions. For more information, please visit our project webpage: http://rf-diary.csail.mit.edu        "
51,"        Existing domain adaptation focuses on transferring knowledge between domains with categorical indices (e.g., between datasets A and B). However, many tasks involve continuously indexed domains. For example, in medical applications, one often needs to transfer disease analysis and prediction across patients of different ages, where age acts as a continuous domain index. Such tasks are challenging for prior domain adaptation methods since they ignore the underlying relation among domains. In this paper, we propose the first method for continuously indexed domain adaptation. Our approach combines traditional adversarial adaptation with a novel discriminator that models the encoding-conditioned domain index distribution. Our theoretical analysis demonstrates the value of leveraging the domain index to generate invariant features across a continuous range of domains. Our empirical results show that our approach outperforms the state-of-the-art domain adaption methods on both synthetic and real-world medical datasets.        "
52,"        Person Re-Identification (ReID) aims to recognize a person-of-interest across different places and times. Existing ReID methods rely on images or videos collected using RGB cameras. They extract appearance features like clothes, shoes, hair, etc. Such features, however, can change drastically from one day to the next, leading to inability to identify people over extended time periods. In this paper, we introduce RF-ReID, a novel approach that harnesses radio frequency (RF) signals for longterm person ReID. RF signals traverse clothes and reflect off the human body; thus they can be used to extract more persistent human-identifying features like body size and shape. We evaluate the performance of RF-ReID on longitudinal datasets that span days and weeks, where the person may wear different clothes across days. Our experiments demonstrate that RF-ReID outperforms state-of-the-art RGB-based ReID approaches for long term person ReID. Our results also reveal two interesting features: First since RF signals work in the presence of occlusions and poor lighting, RF-ReID allows for person ReID in such scenarios. Second, unlike photos and videos which reveal personal and private information, RF signals are more privacy-preserving, and hence can help extend person ReID to privacy-concerned domains, like healthcare.        "
53,"        Finding an embedding space for a linear approximation of a nonlinear dynamical system enables efficient system identification and control synthesis. The Koopman operator theory lays the foundation for identifying the nonlinear-to-linear coordinate transformations with data-driven methods. Recently, researchers have proposed to use deep neural networks as a more expressive class of basis functions for calculating the Koopman operators. These approaches, however, assume a fixed dimensional state space; they are therefore not applicable to scenarios with a variable number of objects. In this paper, we propose to learn compositional Koopman operators, using graph neural networks to encode the state into object-centric embeddings and using a block-wise linear transition matrix to regularize the shared structure across objects. The learned dynamics can quickly adapt to new environments of unknown physical parameters and produce control signals to achieve a specified goal. Our experiments on manipulating ropes and controlling soft robots show that the proposed method has better efficiency and generalization ability than existing baselines.        "
54,"        Value-based methods constitute a fundamental methodology in planning and deep reinforcement learning (RL). In this paper, we propose to exploit the underlying structures of the state-action value function, i.e., Q function, for both planning and deep RL. In particular, if the underlying system dynamics lead to some global structures of the Q function, one should be capable of inferring the function better by leveraging such structures. Specifically, we investigate the low-rank structure, which widely exists for big data matrices. We verify empirically the existence of low-rank Q functions in the context of control and deep RL tasks. As our key contribution, by leveraging Matrix Estimation (ME) techniques, we propose a general framework to exploit the underlying low-rank structure in Q functions. This leads to a more efficient planning procedure for classical control, and additionally, a simple scheme that can be applied to any value-based RL techniques to consistently achieve better performance on ""low-rank"" tasks. Extensive experiments on control tasks and Atari games confirm the efficacy of our approach. Code is available at https://github.com/YyzHarry/SV-RL.        "
55,"        Understanding people's actions and interactions typically depends on seeing them. Automating the process of action recognition from visual data has been the topic of much research in the computer vision community. But what if it is too dark, or if the person is occluded or behind a wall? In this paper, we introduce a neural network model that can detect human actions through walls and occlusions, and in poor lighting conditions. Our model takes radio frequency (RF) signals as input, generates 3D human skeletons as an intermediate representation, and recognizes actions and interactions of multiple people over time. By translating the input to an intermediate skeleton-based representation, our model can learn from both vision-based and RF-based datasets, and allow the two tasks to help each other. We show that our model achieves comparable accuracy to vision-based action recognition systems in visible scenarios, yet continues to work accurately when people are not visible, hence addressing scenarios that are beyond the limit of today's vision-based action recognition.        "
56,"        Deep neural networks are vulnerable to adversarial attacks. The literature is rich with algorithms that can easily craft successful adversarial examples. In contrast, the performance of defense techniques still lags behind. This paper proposes ME-Net, a defense method that leverages matrix estimation (ME). In ME-Net, images are preprocessed using two steps: first pixels are randomly dropped from the image; then, the image is reconstructed using ME. We show that this process destroys the adversarial structure of the noise, while re-enforcing the global structure in the original image. Since humans typically rely on such global structures in classifying images, the process makes the network mode compatible with human perception. We conduct comprehensive experiments on prevailing benchmarks such as MNIST, CIFAR-10, SVHN, and Tiny-ImageNet. Comparing ME-Net with state-of-the-art defense mechanisms shows that ME-Net consistently outperforms prior techniques, improving robustness against both black-box and white-box attacks.        "
57,"        We consider the problem of inferring the values of an arbitrary set of variables (e.g., risk of diseases) given other observed variables (e.g., symptoms and diagnosed diseases) and high-dimensional signals (e.g., MRI images or EEG). This is a common problem in healthcare since variables of interest often differ for different patients. Existing methods including Bayesian networks and structured prediction either do not incorporate high-dimensional signals or fail to model conditional dependencies among variables. To address these issues, we propose bidirectional inference networks (BIN), which stich together multiple probabilistic neural networks, each modeling a conditional dependency. Predictions are then made via iteratively updating variables using backpropagation (BP) to maximize corresponding posterior probability. Furthermore, we extend BIN to composite BIN (CBIN), which involves the iterative prediction process in the training stage and improves both accuracy and computational efficiency by adaptively smoothing the optimization landscape. Experiments on synthetic and real-world datasets (a sleep study and a dermatology dataset) show that CBIN is a single model that can achieve state-of-the-art performance and obtain better accuracy in most inference tasks than multiple models each specifically trained for a different task.        "
58,"        There is much interest in integrating millimeter wave radios (mmWave) into wireless LANs and 5G cellular networks to benefit from their multiple GHz of available spectrum. Yet unlike existing technologies, e.g., WiFi, mmWave radios require highly directional antennas. Since the antennas have pencil-beams, the transmitter and receiver need to align their antenna beams before they can communicate. Existing solutions scan the entire space to find the best alignment. Such a process has been shown to introduce up to seconds of delay, and is unsuitable for wireless networks where an access point has to quickly switch between users and accommodate mobile clients.  This paper presents Rapid-Link, a new protocol that can find the best mmWave beam alignment without scanning the space. Given all possible directions for setting the antenna beam, Rapid-Link provably finds the optimal direction in logarithmic number of measurements. Further, Rapid-Link works within the existing 802.11ad standard for mmWave LAN, and can support both clients and access points. We have implemented Rapid-Link in a mmWave radio and evaluated it empirically. Our results show that it reduces beam alignment delay by orders of magnitude. In particular, for highly directional mmWave devices operating under 802.11ad, the delay drops from over a second to 2.5 ms.        "
59,"        Many sensor applications are interested in computing a function over measurements (e.g., sum, average, max) as opposed to collecting all sensor data. Today, such data aggregation is done in a cluster-head. Sensor nodes transmit their values sequentially to a cluster-head node, which calculates the aggregation function and forwards it to the base station. In contrast, this paper explores the possibility of computing a desired function over the air. We devise a solution that enables sensors to transmit coherently over the wireless medium so that the cluster-head directly receives the value of the desired function. We present analysis and preliminary results that demonstrate that such a design yield a large improvement in network throughput.        "
60,"        Time-of-flight, i.e., the time incurred by a signal to travel from transmitter to receiver, is perhaps the most intuitive way to measure distances using wireless signals. It is used in major positioning systems such as GPS, RADAR, and SONAR. However, attempts at using time-of-flight for indoor localization have failed to deliver acceptable accuracy due to fundamental limitations in measuring time on Wi-Fi and other RF consumer technologies. While the research community has developed alternatives for RF-based indoor localization that do not require time-of-flight, those approaches have their own limitations that hamper their use in practice. In particular, many existing approaches need receivers with large antenna arrays while commercial Wi-Fi nodes have two or three antennas. Other systems require fingerprinting the environment to create signal maps. More fundamentally, none of these methods support indoor positioning between a pair of Wi-Fi devices without~third~party~support.  In this paper, we present a set of algorithms that measure the time-of-flight to sub-nanosecond accuracy on commercial Wi-Fi cards. We implement these algorithms and demonstrate a system that achieves accurate device-to-device localization, i.e. enables a pair of Wi-Fi devices to locate each other without any support from the infrastructure, not even the location of the access points.        "
61,"        We present the first sample-optimal sublinear time algorithms for the sparse Discrete Fourier Transform over a two-dimensional sqrt{n} x sqrt{n} grid. Our algorithms are analyzed for /average case/ signals. For signals whose spectrum is exactly sparse, our algorithms use O(k) samples and run in O(k log k) time, where k is the expected sparsity of the signal. For signals whose spectrum is approximately sparse, our algorithm uses O(k log n) samples and runs in O(k log^2 n) time; the latter algorithm works for k=Theta(sqrt{n}). The number of samples used by our algorithms matches the known lower bounds for the respective signal models.  By a known reduction, our algorithms give similar results for the one-dimensional sparse Discrete Fourier Transform when n is a power of a small composite number (e.g., n = 6^t).        "
62,"        We consider the problem of computing the k-sparse approximation to the discrete Fourier transform of an n-dimensional signal. We show:  * An O(k log n)-time randomized algorithm for the case where the input signal has at most k non-zero Fourier coefficients, and  * An O(k log n log(n/k))-time randomized algorithm for general input signals.  Both algorithms achieve o(n log n) time, and thus improve over the Fast Fourier Transform, for any k = o(n). They are the first known algorithms that satisfy this property. Also, if one assumes that the Fast Fourier Transform is optimal, the algorithm for the exactly k-sparse case is optimal for any k = n^{Î©(1)}.  We complement our algorithmic results by showing that any algorithm for computing the sparse Fourier transform of a general signal must use at least Î©(k log(n/k)/ log log n) signal samples, even if it is allowed to perform adaptive sampling.        "
63,"        We examine the advantages that quantum strategies afford in communication-limited games. Inspired by the card game blackjack, we focus on cooperative, two-party sequential games in which a single classical bit of communication is allowed from the player who moves first to the player who moves second. Within this setting, we explore the usage of quantum entanglement between the players and find analytic and numerical conditions for quantum advantage over classical strategies. Using these conditions, we study a family of blackjack-type games with varying numbers of card types, and find a range of parameters where quantum advantage is achieved. Furthermore, we give an explicit quantum circuit for the strategy achieving quantum advantage.        "
64,"        Graphene has been intensively studied in photovoltaics focusing on emerging solar cells based on thin films, dye-sensitized, quantum dots, nanowires, etc. However, the typical efficiency of these solar cells incorporating graphene are below 16%. Therefore, the photovoltaic potential of graphene has not been already shown. In this work the use of graphene for concentration applications on III-V multijunction solar cells, which indeed are the solar cells with the highest efficiency, is demonstrated. Firstly, a wide optoelectronic characterization of graphene layers is carried out. Then, the graphene layer is incorporated onto triple-junction solar cells, which decreases their series resistance by 35% (relative), leading to an increase in Fill Factor of 4% (absolute) at concentrations of 1,000 suns. Simultaneously, the optical absorption of graphene produces a relative short circuit current density decrease in the range of 0-1.8%. As a result, an absolute efficiency improvement close to 1% at concentrations of 1,000 suns was achieved with respect to triple junction solar cells without graphene. The impact of incorporating one and two graphene monolayers is also evaluated.        "
65,"        Transition metal dichalcogenide (TMD) materials have emerged as promising candidates for thin film solar cells due to their wide bandgap range across the visible wavelengths, high absorption coefficient and ease of integration with both arbitrary substrates as well as conventional semiconductor technologies. However, reported TMD-based solar cells suffer from relatively low external quantum efficiencies (EQE) and low open circuit voltage due to unoptimized design and device fabrication. This paper studies $Pt/WSe_2$ vertical Schottky junction solar cells with various $WSe_2$ thicknesses in order to find the optimum absorber thickness.Also, we show that the photovoltaic performance can be improved via $Al_2O_3$ passivation which increases the EQE by up to 29.5% at 410 nm wavelength incident light. The overall resulting short circuit current improves through antireflection coating, surface doping, and surface trap passivation effects. Thanks to the ${Al_2O_3}$ coating, this work demonstrates a device with open circuit voltage ($V_{OC}$) of 380 mV and short circuit current density ($J_{SC}$) of 10.7 $mA/cm^2$. Finally, the impact of Schottky barrier height inhomogeneity at the $Pt/WSe_2$ contact is investigated as a source of open circuit voltage lowering in these devices        "
66,"        Two-dimensional (2D) transition metal nitrides (TMNs) are new members in the 2D materials family with a wide range of applications. Particularly, highly crystalline and large area thin films of TMNs are potentially promising for applications in electronic and optoelectronic devices; however, the synthesis of such TMNs has not yet been achieved. Here, we report the synthesis of few-nanometer thin Mo5N6 crystals with large area and high quality via in situ chemical conversion of layered MoS2 crystals. The structure and quality of the ultrathin Mo5N6 crystal are confirmed using transmission electron microscopy, Raman spectroscopy and X-ray photoelectron spectroscopy. The large lateral dimensions of Mo5N6 crystals are inherited from the MoS2 crystals that are used for the conversion. Atomic force microscopy characterization reveals the thickness of Mo5N6 crystals is reduced to about 1/3 of the MoS2 crystal. Electrical measurements show the obtained Mo5N6 samples are metallic with high electrical conductivity (~ 100 Î© sq-1), which is comparable to graphene. The versatility of this general approach is demonstrated by expanding the method to synthesize W5N6 and TiN. Our strategy offers a new direction for preparing 2D TMNs with desirable characteristics, opening a door for studying fundamental physics and facilitating the development of next generation electronics.        "
67,"        We unveil the diamondization mechanism of few-layer graphene compressed in the presence of water, providing robust evidence for the pressure-induced formation of 2D diamond. High-pressure Raman spectroscopy provides evidence of a phase transition occurring in the range of 4-7 GPa for 5-layer graphene and graphite. The pressure-induced phase is partially transparent and indents the silicon substrate. Our combined theoretical and experimental results indicate a gradual top-bottom diamondization mechanism, consistent with the formation of diamondene, a 2D ferromagnetic semiconductor. High-pressure x-ray diffraction on graphene indicates the formation of hexagonal diamond, consistent with the bulk limit of eclipsed-conformed diamondene.        "
68,"        Advanced microscopy and/or spectroscopy tools play indispensable role in nanoscience and nanotechnology research, as it provides rich information about the growth mechanism, chemical compositions, crystallography, and other important physical and chemical properties. However, the interpretation of imaging data heavily relies on the ""intuition"" of experienced researchers. As a result, many of the deep graphical features obtained through these tools are often unused because of difficulties in processing the data and finding the correlations. Such challenges can be well addressed by deep learning. In this work, we use the optical characterization of two-dimensional (2D) materials as a case study, and demonstrate a neural-network-based algorithm for the material and thickness identification of exfoliated 2D materials with high prediction accuracy and real-time processing capability. Further analysis shows that the trained network can extract deep graphical features such as contrast, color, edges, shapes, segment sizes and their distributions, based on which we develop an ensemble approach topredict the most relevant physical properties of 2D materials. Finally, a transfer learning technique is applied to adapt the pretrained network to other applications such as identifying layer numbers of a new 2D material, or materials produced by a different synthetic approach. Our artificial-intelligence-based material characterization approach is a powerful tool that would speed up the preparation, initial characterization of 2D materials and other nanomaterials and potentially accelerate new material discoveries.        "
69,"        When the Fermi level matches the Dirac point in graphene, the reduced charge screening can dramatically enhance electron-electron (e-e) scattering to produce a strongly interacting Dirac liquid. While the dominance of e-e scattering already leads to novel behaviors, such as electron hydrodynamic flow, further exotic phenomena have been predicted to arise specifically from the unique kinematics of e-e scattering in massless Dirac systems. Here, we use optoelectronic probes, which are highly sensitive to the kinematics of electron scattering, to uncover a giant intrinsic photocurrent response in pristine graphene. This photocurrent emerges exclusively at the charge neutrality point and vanishes abruptly at non-zero charge densities. Moreover, it is observed at places with broken reflection symmetry, and it is selectively enhanced at free graphene edges with sharp bends. Our findings reveal that the photocurrent relaxation is strongly suppressed by a drastic change of fast photocarrier kinematics in graphene when its Fermi level matches the Dirac point. The emergence of robust photocurrents in neutral Dirac materials promises new energy-harvesting functionalities and highlights intriguing electron dynamics in the optoelectronic response of Dirac fluids.        "
70,"        The effect of a two dimensional (2D) graphene layer (GL) on top of the silicon nitride (SiN) passivation layer of AlGaN/GaN metal-insulator-semiconductor high-electron-mobility transistors (MIS-HEMTs) has been systematically analyzed. Results showed that in the devices without the GL, the maximum drain current density (I_D,max) and the maximum transconductance (g_m,max) decreased gradually as the mist exposure time increased, up to 23% and 10%, respectively. Moreover, the gate lag ratio (GLR) increased around 10% during mist exposure. In contrast, devices with a GL showed a robust behavior and not significant changes in the electrical characteristics in both DC and pulsed conditions. The origin of these behaviors has been discussed and the results pointed to the GL as the key factor for improving the moisture resistance of the SiN passivation layer.        "
71,"        A Weyl semimetal (WSM) is a novel topological phase of matter, in which Weyl fermions (WFs) arise as pseudo-magnetic monopoles in its momentum space. The chirality of the WFs, given by the sign of the monopole charge, is central to the Weyl physics, since it directly serves as the sign of the topological number and gives rise to exotic properties such as Fermi arcs and the chiral anomaly. Despite being the defining property of a WSM, the chirality of the WFs has never been experimentally measured. Here, we directly detect the chirality of the WFs by measuring the photocurrent in response to circularly polarized mid-infrared light. The resulting photocurrent is determined by both the chirality of WFs and that of the photons. Our results pave the way for realizing a wide range of theoretical proposals for studying and controlling the WFs and their associated quantum anomalies by optical and electrical means. More broadly, the two chiralities, analogous to the two valleys in 2D materials, lead to a new degree of freedom in a 3D crystal with potential novel pathways to store and carry information.        "
72,"        Single photon emitters play a central role in many photonic quantum technologies. A promising class of single photon emitters consists of atomic color centers in wide-bandgap crystals, such as diamond silicon carbide and hexagonal boron nitride. However, it is currently not possible to grow these materials as sub-micron thick films on low-refractive index substrates, which is necessary for mature photonic integrated circuit technologies. Hence, there is great interest in identifying quantum emitters in technologically mature semiconductors that are compatible with suitable heteroepitaxies. Here, we demonstrate robust single photon emitters based on defects in gallium nitride (GaN), the most established and well understood semiconductor that can emit light over the entire visible spectrum. We show that the emitters have excellent photophysical properties including a brightness in excess of 500x10^3 counts/s. We further show that the emitters can be found in a variety of GaN wafers, thus offering reliable and scalable platform for further technological development. We propose a theoretical model to explain the origin of these emitters based on cubic inclusions in hexagonal gallium nitride. Our results constitute a feasible path to scalable, integrated on-chip quantum technologies based on GaN.        "
73,"        Diverse parallel stitched two-dimensional heterostructures are synthesized, including metal-semiconductor (graphene-MoS2), semiconductor-semiconductor (WS2-MoS2), and insulator-semiconductor (hBN-MoS2), directly through selective sowing of aromatic molecules as the seeds in chemical vapor deposition (CVD) method. Our methodology enables the large-scale fabrication of lateral heterostructures with arbitrary patterns, and clean and precisely aligned interfaces, which offers tremendous potential for its application in integrated circuits.        "
